,task1,task2,epoch,step,images_needed,target test acc,reached test acc,Label index0,Label index1,Label index2,Label index3,Label index4,Label index5,Label index6,Label index7,Label index8,Label index9
896,"[0, 1]","[2, 3, 6, 9]",19,22,0,97.58666666666667,86.03853690398432,,,,,,,,,,
897,"[0, 2, 4, 6, 7]","[1, 3, 8]",19,30,0,97.615,85.46734164711692,,,,,,,,,,
898,"[0, 2, 6, 7]","[1, 3, 5, 8]",19,30,0,96.825,78.81133724559871,,,,,,,,,,
899,"[0, 5]","[1, 2, 4, 6, 7, 9]",19,30,0,97.77,87.437624750499,,,,,,,,,,
900,"[2, 8, 9]","[3, 4, 6, 7]",19,26,0,97.45166666666668,76.79107679107679,,,,,,,,,,
901,"[0, 3, 6, 9]","[1, 2, 5, 7]",19,30,0,97.47333333333331,85.38040775733467,,,,,,,,,,
902,"[1, 3, 7]","[2, 4, 6, 8]",19,26,0,97.31666666666666,84.28150021070375,,,,,,,,,,
903,"[0, 2, 3, 5, 9]","[1, 4, 6, 8]",19,33,0,97.46666666666668,85.510477039679,,,,,,,,,,
904,"[0, 5, 6, 8]","[1, 2, 4, 9]",19,29,0,97.89833333333333,84.11203215272545,,,,,,,,,,
905,"[0, 3, 5, 7, 8]","[1, 2, 4, 9]",19,33,0,97.955,82.62552532625526,,,,,,,,,,
906,"[0, 1, 4, 6, 8]","[2, 3, 7]",19,30,0,97.64333333333332,84.68946783553525,,,,,,,,,,
907,"[1, 3, 7, 9]","[2, 4, 6, 8]",19,30,0,97.81833333333331,83.84596456692913,,,,,,,,,,
908,"[0, 1, 5, 6, 8]","[2, 3, 7, 9]",19,33,0,98.10333333333332,80.68307828786871,,,,,,,,,,
909,"[1, 2, 4, 5]","[3, 6, 9]",19,26,0,97.83833333333334,81.0914790538615,,,,,,,,,,
910,"[0, 4]","[1, 2, 5, 7, 9]",19,26,0,97.97333333333331,89.50127514876736,,,,,,,,,,
911,"[0, 1, 4, 5]","[2, 6, 7]",19,26,0,97.04166666666669,88.78264592550306,,,,,,,,,,
912,"[0, 1, 5]","[2, 3, 7, 8, 9]",19,30,0,97.90166666666669,79.75186104218362,,,,,,,,,,
913,"[0, 5, 9]","[1, 2, 6, 7]",19,26,0,97.14,86.5794711401763,,,,,,,,,,
914,"[0, 3, 4, 7]","[1, 2, 9]",19,26,0,98.17666666666666,88.46153846153845,,,,,,,,,,
915,"[0, 1, 8, 9]","[2, 3, 5, 6, 7]",19,33,0,98.01666666666668,79.29696163229097,,,,,,,,,,
916,"[0, 7, 9]","[1, 2, 4, 8]",19,26,0,97.855,86.97478991596638,,,,,,,,,,
917,"[4, 5, 6]","[7, 8, 9]",19,22,0,97.945,66.5582748588054,,,,,,,,,,
918,"[0, 3, 5, 6, 7]","[1, 2, 8, 9]",19,33,0,97.58666666666667,79.13062763362164,,,,,,,,,,
919,"[0, 6, 9]","[1, 2, 4, 7, 8]",19,30,0,97.52,87.12027661150901,,,,,,,,,,
920,"[3, 4, 7, 9]","[5, 6, 8]",19,25,0,97.76833333333332,72.61053553188384,,,,,,,,,,
921,"[3, 5, 6]","[4, 7, 9]",19,22,0,97.685,79.63939445483926,,,,,,,,,,
922,"[0, 1, 2, 7, 8, 9]","[3, 4, 6]",19,34,0,98.12,84.11286780851998,,,,,,,,,,
923,"[0, 2, 3, 5]","[1, 4, 9]",19,26,0,97.92666666666666,85.48295454545455,,,,,,,,,,
924,"[1, 6]","[2, 4, 5, 7]",19,22,0,97.97666666666667,84.75194956031193,,,,,,,,,,
925,"[1, 4, 8]","[2, 3, 6, 7, 9]",19,30,0,97.855,82.8248031496063,,,,,,,,,,
926,"[1, 3, 5, 9]","[2, 4, 8]",19,26,0,97.45166666666668,79.03042365652546,,,,,,,,,,
927,"[0, 4, 5, 7, 9]","[1, 2, 6]",19,30,0,97.14,85.64121756487026,,,,,,,,,,
928,"[1, 3, 4, 6, 8]","[2, 5, 9]",19,29,0,97.45166666666668,80.66816816816817,,,,,,,,,,
929,"[0, 3, 9]","[1, 2, 5, 6]",19,26,0,97.68333333333334,84.03648802736602,,,,,,,,,,
930,"[0, 3, 8, 9]","[1, 2, 5, 7]",19,30,0,97.58666666666667,79.72704714640199,,,,,,,,,,
931,"[0, 4, 6, 7]","[1, 2, 5, 8, 9]",19,33,0,97.45166666666668,82.94771968854282,,,,,,,,,,
932,"[0, 2, 3, 9]","[1, 4, 6, 7]",19,30,0,97.77333333333334,87.1403983280059,,,,,,,,,,
933,"[0, 1, 3, 7]","[2, 4, 6, 8, 9]",19,34,0,98.19,84.77162933684673,,,,,,,,,,
934,"[0, 2, 7]","[1, 4, 5, 6]",19,26,0,97.97333333333331,89.53903239617526,,,,,,,,,,
935,"[0, 4, 5, 6]","[1, 3, 7]",19,26,0,97.93833333333332,87.91696492483894,,,,,,,,,,
936,"[0, 6, 9]","[1, 2, 4, 5, 8]",19,29,0,97.945,83.24541572469228,,,,,,,,,,
937,"[1, 7, 9]","[2, 4]",19,19,0,98.01166666666668,84.88237562668724,,,,,,,,,,
938,"[2, 3, 4, 6, 7]","[5, 8, 9]",19,29,0,97.8,74.15345592897907,,,,,,,,,,
939,"[0, 4, 5, 7, 9]","[1, 2, 8]",19,30,0,97.83833333333334,81.77290836653387,,,,,,,,,,
940,"[1, 4]","[2, 3, 8]",19,19,0,97.98833333333332,84.20027274498344,,,,,,,,,,
941,"[2, 5, 9]","[3, 4, 6, 8]",19,25,0,97.945,78.64955519906664,,,,,,,,,,
942,"[0, 3, 5, 7]","[1, 2, 6, 8]",19,30,0,97.74166666666667,79.6728680234736,,,,,,,,,,
943,"[0, 1, 2, 5]","[3, 4, 8, 9]",19,29,0,97.90166666666669,79.57324681806838,,,,,,,,,,
944,"[0, 5, 8]","[1, 2, 4, 6, 7]",19,29,0,97.78666666666666,84.93923067284801,,,,,,,,,,
945,"[0, 3, 6, 8]","[1, 2, 5, 9]",19,29,0,97.81833333333331,84.03003754693367,,,,,,,,,,
946,"[1, 2, 3, 8]","[4, 5, 7, 9]",19,30,0,97.64333333333332,78.77697841726618,,,,,,,,,,
947,"[0, 1, 7, 9]","[2, 3, 5, 6]",19,30,0,97.815,85.52958727001491,,,,,,,,,,
948,"[0, 2, 6, 7]","[1, 3, 5, 9]",19,30,0,97.59166666666668,83.50323222277474,,,,,,,,,,
949,"[0, 1, 4, 5, 6]","[2, 3, 7, 9]",19,33,0,97.46666666666668,88.13427875027698,,,,,,,,,,
950,"[0, 1, 3, 7]","[2, 5]",19,22,0,97.68333333333334,86.37485601448083,,,,,,,,,,
951,"[0, 1, 2]","[3, 4, 7, 8]",19,26,0,97.56666666666666,86.73855202352611,,,,,,,,,,
952,"[1, 6, 8]","[2, 3, 5, 7, 9]",19,30,0,97.885,74.21000248818113,,,,,,,,,,
953,"[0, 1, 8, 9]","[2, 4, 5]",19,26,0,97.945,86.03655054254712,,,,,,,,,,
954,"[2, 5, 6, 9]","[3, 4, 8]",19,25,0,98.10333333333332,74.62447134315299,,,,,,,,,,
955,"[0, 2, 7, 9]","[1, 4, 5]",19,26,0,97.81833333333331,89.78464154151318,,,,,,,,,,
956,"[1, 2, 4, 5, 6]","[3, 7, 9]",19,30,0,97.855,81.65548098434004,,,,,,,,,,
957,"[0, 2, 7, 9]","[1, 3, 6, 8]",19,30,0,97.87166666666668,83.3989662810731,,,,,,,,,,
958,"[0, 4, 5, 6]","[1, 2, 7, 9]",19,30,0,97.30666666666666,87.250499001996,,,,,,,,,,
959,"[0, 3, 4, 9]","[1, 2, 8]",19,26,0,97.945,84.10558831788823,,,,,,,,,,
960,"[0, 1, 2, 5, 9]","[3, 4, 8]",19,29,0,97.86833333333334,81.81931619665586,,,,,,,,,,
961,"[2, 3, 4, 7, 8]","[5, 6, 9]",19,29,0,97.855,71.83259353202283,,,,,,,,,,
962,"[0, 1, 4, 8]","[2, 3, 7, 9]",19,30,0,97.08833333333334,85.39877300613496,,,,,,,,,,
963,"[0, 3, 4]","[1, 2, 6, 7, 8, 9]",19,34,0,97.49833333333332,85.74879227053141,,,,,,,,,,
964,"[1, 2, 4]","[3, 6]",19,19,0,97.04166666666669,88.95837404729333,,,,,,,,,,
965,"[0, 1, 7]","[2, 4, 5, 6]",19,26,0,97.87166666666668,88.68274582560296,,,,,,,,,,
966,"[0, 3, 5, 8, 9]","[1, 2, 6]",19,29,0,97.79,83.9424280350438,,,,,,,,,,
967,"[0, 5]","[1, 2, 6, 7, 8]",19,26,0,97.69666666666666,84.32633233319045,,,,,,,,,,
968,"[0, 1, 6]","[2, 3, 9]",19,22,0,97.87166666666668,86.74069235793598,,,,,,,,,,
969,"[0, 4, 6, 7, 9]","[1, 2, 5, 8]",19,33,0,97.58333333333331,84.33815350389321,,,,,,,,,,
970,"[0, 5]","[1, 3, 4, 6, 8, 9]",19,29,0,97.82666666666668,78.08564231738035,,,,,,,,,,
971,"[1, 4, 5, 9]","[2, 3, 6, 8]",19,29,0,97.34333333333332,79.8923923923924,,,,,,,,,,
972,"[0, 1, 4, 5]","[2, 3, 7, 8, 9]",19,33,0,97.77833333333334,81.68546781685467,,,,,,,,,,
973,"[2, 6, 7]","[3, 4, 9]",19,22,0,97.52166666666666,80.77753779697623,,,,,,,,,,
974,"[0, 5, 6]","[1, 2, 4, 7, 9]",19,30,0,97.85,87.62475049900199,,,,,,,,,,
975,"[0, 4]","[1, 2, 6, 8]",19,22,0,97.855,84.85398449100808,,,,,,,,,,
976,"[0, 1, 4, 5, 7]","[2, 3, 8]",19,30,0,98.09,82.08639362629154,,,,,,,,,,
977,"[1, 3, 6]","[2, 4, 9]",19,22,0,97.815,80.36238981390792,,,,,,,,,,
978,"[1, 6]","[2, 3, 8, 9]",19,22,0,97.52,79.421379535796,,,,,,,,,,
979,"[2, 5, 9]","[3, 4, 7, 8]",19,25,0,98.04833333333332,71.28627111303595,,,,,,,,,,
980,"[0, 3, 5, 7, 8]","[1, 2, 6]",19,30,0,97.08833333333334,78.64901985266575,,,,,,,,,,
981,"[0, 1, 3, 7]","[2, 4, 8]",19,26,0,97.69666666666666,83.81179106567707,,,,,,,,,,
982,"[0, 2, 5]","[1, 3, 6, 8]",19,26,0,97.45166666666668,79.98854032373586,,,,,,,,,,
983,"[1, 3, 4, 5, 6, 9]","[2, 7, 8]",19,33,0,97.77833333333334,83.09312638580931,,,,,,,,,,
984,"[3, 4, 6, 8]","[5, 7, 9]",19,25,0,97.945,73.09207646286298,,,,,,,,,,
985,"[0, 4, 9]","[1, 2, 5, 6, 7, 8]",19,33,0,97.855,82.55839822024471,,,,,,,,,,
986,"[1, 6, 9]","[2, 3, 5, 7, 8]",19,30,0,97.83833333333334,81.01517790495149,,,,,,,,,,
987,"[0, 1, 7]","[2, 3, 5, 9]",19,26,0,97.885,83.50268134349422,,,,,,,,,,
988,"[0, 7, 9]","[1, 2, 5, 8]",19,26,0,97.54833333333332,85.2482269503546,,,,,,,,,,
989,"[0, 5, 7]","[1, 2, 4, 6, 9]",19,30,0,97.945,87.188123752495,,,,,,,,,,
990,"[0, 3, 6]","[1, 2, 5, 7, 8, 9]",19,33,0,97.225,78.31004657351963,,,,,,,,,,
991,"[0, 2, 3, 6]","[1, 4, 7, 8]",19,30,0,97.84,86.03531300160515,,,,,,,,,,
992,"[0, 4, 5]","[1, 2, 6, 7]",19,26,0,97.76833333333332,88.4258598544313,,,,,,,,,,
993,"[1, 3, 4, 7]","[2, 5, 8, 9]",19,30,0,97.8,79.17390225750434,,,,,,,,,,
994,"[0, 2, 3, 5]","[1, 4, 8, 9]",19,29,0,97.64333333333332,82.06887946094335,,,,,,,,,,
995,"[0, 3, 6]","[1, 2, 9]",19,22,0,97.59,87.49183540169824,,,,,,,,,,
996,"[0, 1, 2, 4, 5]","[3, 6, 7, 9]",19,33,0,98.11,85.1207622424108,,,,,,,,,,
997,"[0, 3, 4]","[1, 5, 6, 7, 8]",19,30,0,97.68166666666669,79.4446538509863,,,,,,,,,,
998,"[0, 4, 6, 9]","[1, 2, 5]",19,26,0,97.945,86.2192329708071,,,,,,,,,,
999,"[0, 5, 8, 9]","[1, 2, 4, 6]",19,29,0,98.01166666666668,83.0695805074102,,,,,,,,,,
1000,"[0, 5, 6, 7]","[1, 3]",19,22,0,97.46666666666668,86.2568715642179,,,,,,,,,,
1001,"[1, 2, 6, 8, 9]","[3, 4, 7]",19,30,0,97.46666666666668,81.2869094488189,,,,,,,,,,
1002,"[0, 5, 7, 8]","[1, 2, 4, 6, 9]",19,33,0,97.705,82.78086763070078,,,,,,,,,,
1003,"[2, 4, 5]","[3, 6, 8, 9]",19,25,0,98.19,77.74536969520199,,,,,,,,,,
1004,"[1, 2, 5, 7, 8, 9]","[3, 4, 6]",19,33,0,97.89833333333333,79.25720620842573,,,,,,,,,,
1005,"[0, 5, 7]","[1, 3, 4, 6]",19,26,0,97.615,87.31567644953472,,,,,,,,,,
1006,"[0, 2, 8]","[1, 3, 5, 6, 9]",19,29,0,97.945,84.45556946182728,,,,,,,,,,
1007,"[3, 9]","[4, 5, 6, 8]",19,21,0,97.385,63.33047210300429,,,,,,,,,,
1008,"[0, 1, 2, 6]","[3, 4, 7, 8, 9]",19,34,0,97.8,84.65085638998683,,,,,,,,,,
1009,"[0, 9]","[1, 2, 7, 8]",19,22,0,97.86833333333334,87.6583306268269,,,,,,,,,,
1010,"[2, 3, 5, 6, 9]","[4, 7, 8]",19,29,0,97.73333333333332,72.80913126188966,,,,,,,,,,
1011,"[0, 2, 4, 6, 9]","[1, 3, 8]",19,30,0,97.74166666666667,85.16089108910892,,,,,,,,,,
1012,"[0, 9]","[1, 3, 4, 5, 6, 7]",19,30,0,97.815,86.72754565924443,,,,,,,,,,
1013,"[1, 7, 8]","[2, 3, 5, 6, 9]",19,30,0,97.44666666666669,79.55959193829311,,,,,,,,,,
1014,"[1, 6, 8, 9]","[2, 3, 5, 7]",19,30,0,97.59,74.78228415028613,,,,,,,,,,
1015,"[0, 2, 4, 8]","[1, 3, 6, 9]",19,30,0,97.225,85.47029702970296,,,,,,,,,,
1016,"[0, 1, 2, 9]","[3, 5, 6]",19,26,0,97.86333333333332,84.49258836944128,,,,,,,,,,
1017,"[0, 4, 5, 8]","[1, 3]",19,22,0,97.77833333333334,79.6082370668006,,,,,,,,,,
1018,"[0, 1, 5, 6, 7]","[2, 3, 8, 9]",19,33,0,97.56833333333331,78.83122643601685,,,,,,,,,,
1019,"[0, 4, 6, 7, 9]","[1, 2, 8]",19,30,0,97.855,86.99678933069895,,,,,,,,,,
1020,"[0, 1, 4, 6]","[2, 3, 7, 8]",19,30,0,97.68166666666669,84.54130139523399,,,,,,,,,,
1021,"[0, 4]","[1, 2, 5, 6, 8]",19,26,0,97.84166666666668,84.02128577592406,,,,,,,,,,
1022,"[0, 4, 8]","[1, 2, 6, 9]",19,26,0,97.78666666666666,86.91654879773691,,,,,,,,,,
1023,"[2, 3, 7, 9]","[4, 5, 6, 8]",19,29,0,97.69666666666666,78.5288522511097,,,,,,,,,,
1024,"[0, 2, 3, 5, 6, 8]","[1, 4, 9]",19,33,0,97.785,82.27819884083817,,,,,,,,,,
1025,"[1, 3, 4, 8]","[2, 5, 6, 9]",19,29,0,97.52,81.006006006006,,,,,,,,,,
1026,"[0, 1, 6, 8, 9]","[2, 3, 5, 7]",19,33,0,98.10333333333332,78.60944777112442,,,,,,,,,,
1027,"[0, 3, 4, 9]","[1, 2, 6]",19,26,0,97.945,87.05319448353505,,,,,,,,,,
1028,"[0, 6]","[1, 3, 4, 5, 7]",19,26,0,97.79666666666668,87.32999284180386,,,,,,,,,,
1029,"[0, 9]","[1, 2, 4, 5, 8]",19,26,0,97.815,84.60879497430041,,,,,,,,,,
1030,"[0, 1, 2, 3, 7]","[4, 5, 9]",19,30,0,98.02166666666666,84.38274665344571,,,,,,,,,,
1031,"[0, 1, 3, 4, 8]","[2, 5, 6, 9]",19,33,0,97.81333333333332,85.25412394115025,,,,,,,,,,
1032,"[0, 2, 3, 4, 8]","[1, 5, 7, 9]",19,33,0,97.86666666666667,81.11037381110374,,,,,,,,,,
1033,"[0, 4, 6, 9]","[1, 2, 5, 7, 8]",19,33,0,97.47666666666667,83.53726362625139,,,,,,,,,,
1034,"[0, 2, 5, 6]","[1, 3, 7, 8]",19,30,0,97.98,80.54688475465102,,,,,,,,,,
1035,"[0, 2, 3, 5, 9]","[1, 4, 8]",19,29,0,97.64333333333332,81.60718742201148,,,,,,,,,,
1036,"[0, 3, 4, 8, 9]","[1, 2, 7]",19,30,0,97.89833333333333,84.26993865030676,,,,,,,,,,
1037,"[1, 2, 3, 9]","[4, 5, 8]",19,26,0,97.92666666666666,75.26300824566393,,,,,,,,,,
1038,"[2, 6]","[3, 4, 7, 9]",19,22,0,97.58666666666667,79.91360691144709,,,,,,,,,,
1039,"[1, 2, 8]","[3, 4, 6]",19,22,0,97.82666666666668,81.08684945000822,,,,,,,,,,
1040,"[0, 7]","[1, 2, 4, 5, 6, 9]",19,30,0,97.69666666666666,86.96357285429141,,,,,,,,,,
1041,"[1, 2, 5]","[3, 4, 7, 9]",19,26,0,97.615,85.39785553047405,,,,,,,,,,
1042,"[0, 4, 5, 8, 9]","[1, 2, 6]",19,29,0,97.77,83.99899522732981,,,,,,,,,,
1043,"[1, 4, 8, 9]","[2, 3, 6, 7]",19,30,0,97.64833333333334,83.20620078740157,,,,,,,,,,
1044,"[0, 5]","[1, 2, 4, 7, 8, 9]",19,30,0,97.815,81.62350597609563,,,,,,,,,,
1045,"[0, 1, 4, 5, 6]","[2, 3, 8]",19,29,0,97.945,81.75310812507848,,,,,,,,,,
1046,"[0, 8]","[1, 2, 5, 7]",19,22,0,97.87166666666668,84.55553716272141,,,,,,,,,,
1047,"[1, 5, 7, 8]","[2, 3, 9]",19,26,0,97.81833333333331,70.11299435028249,,,,,,,,,,
1048,"[0, 4]","[1, 2, 5, 6, 8, 9]",19,29,0,97.945,84.0241145440844,,,,,,,,,,
1049,"[0, 2, 3, 4, 5, 8]","[1, 6, 9]",19,33,0,97.855,80.26081141328578,,,,,,,,,,
1050,"[0, 2, 5, 6, 7, 9]","[1, 3, 8]",19,33,0,98.01166666666668,79.87358616101132,,,,,,,,,,
1051,"[1, 8]","[2, 3, 6, 7, 9]",19,26,0,97.59,82.19983207388749,,,,,,,,,,
1052,"[0, 1, 3, 4, 9]","[2, 5, 8]",19,29,0,97.78666666666666,80.4092837534315,,,,,,,,,,
1053,"[0, 3, 7, 9]","[1, 2, 5, 6]",19,30,0,97.705,83.2297364495276,,,,,,,,,,
1054,"[1, 3]","[2, 4, 7, 9]",19,23,0,97.84666666666666,85.76500968366688,,,,,,,,,,
1055,"[0, 6, 9]","[1, 2, 5]",19,22,0,97.90166666666669,83.66633366633367,,,,,,,,,,
1056,"[0, 3, 5, 6, 7, 9]","[1, 2, 8]",19,33,0,97.885,79.38567309824795,,,,,,,,,,
1057,"[0, 4, 7]","[1, 2, 5, 6, 8]",19,29,0,98.08666666666667,84.03708808419998,,,,,,,,,,
1058,"[2, 3, 8]","[4, 5, 9]",19,22,0,97.855,76.21630784878793,,,,,,,,,,
1059,"[0, 8]","[1, 2, 9]",19,19,0,97.945,88.20662768031188,,,,,,,,,,
1060,"[0, 4, 8]","[1, 2, 6]",19,22,0,97.945,86.1244019138756,,,,,,,,,,
1061,"[0, 1, 2, 4, 5]","[3, 6, 9]",19,29,0,97.69666666666666,82.39559889972493,,,,,,,,,,
1062,"[0, 2, 3, 5, 9]","[1, 4, 7]",19,30,0,97.945,83.62667327714426,,,,,,,,,,
1063,"[0, 8]","[1, 2, 5, 6, 7]",19,26,0,97.8,84.26918131161595,,,,,,,,,,
1064,"[1, 3, 4, 5]","[2, 6, 9]",19,26,0,97.58666666666667,84.19777714448561,,,,,,,,,,
1065,"[0, 5, 7, 8]","[1, 2, 9]",19,26,0,97.83833333333334,85.14893617021276,,,,,,,,,,
1066,"[0, 1, 5, 6]","[2, 4, 7]",19,26,0,97.68166666666669,89.38204652490367,,,,,,,,,,
1067,"[1, 2, 3, 6]","[4, 5, 8]",19,26,0,97.76333333333334,80.33796362594873,,,,,,,,,,
1068,"[0, 5, 7]","[1, 2, 4, 6, 8, 9]",19,33,0,97.77833333333334,83.5706340378198,,,,,,,,,,
1069,"[1, 3]","[2, 5, 6]",19,18,0,96.64,83.03162920230754,,,,,,,,,,
1070,"[0, 1, 2, 4, 7, 9]","[3, 5, 8]",19,33,0,97.225,82.83565582835656,,,,,,,,,,
1071,"[0, 1]","[2, 4, 5, 6, 8]",19,26,0,97.945,86.14986336833022,,,,,,,,,,
1072,"[1, 2, 3, 4, 7, 8]","[5, 6, 9]",19,33,0,97.93833333333332,82.40576496674058,,,,,,,,,,
1073,"[1, 5, 7]","[2, 3, 6, 9]",19,26,0,97.61833333333333,80.52095130237825,,,,,,,,,,
1074,"[0, 2, 6]","[1, 3, 5, 8]",19,26,0,97.615,83.09697751038533,,,,,,,,,,
1075,"[1, 8]","[2, 3, 5, 7, 9]",19,26,0,97.615,67.86723163841808,,,,,,,,,,
1076,"[0, 2, 3, 5, 6, 7]","[1, 4, 9]",19,33,0,97.93833333333332,84.50033237314425,,,,,,,,,,
1077,"[0, 4, 9]","[1, 2, 7]",19,22,0,98.04833333333332,89.31235809276679,,,,,,,,,,
1078,"[1, 5, 7, 8]","[2, 3, 6, 9]",19,30,0,97.94166666666668,78.93754665339637,,,,,,,,,,
1079,"[0, 1, 4, 6]","[2, 5, 7]",19,26,0,97.87166666666668,87.91208791208791,,,,,,,,,,
1080,"[0, 7, 8, 9]","[1, 3]",19,23,0,97.58333333333331,82.46414602346806,,,,,,,,,,
1081,"[0, 5, 6, 7, 8]","[1, 2, 3, 9]",19,33,0,97.81833333333331,78.95320470170769,,,,,,,,,,
1082,"[0, 2, 7]","[1, 3, 9]",19,23,0,98.01666666666668,86.66451404585082,,,,,,,,,,
1083,"[0, 2, 5, 6, 9]","[1, 3, 7]",19,30,0,97.13,84.23669816011935,,,,,,,,,,
1084,"[2, 3, 7, 8]","[4, 5, 9]",19,25,0,97.225,70.43453154323662,,,,,,,,,,
1085,"[1, 2, 3]","[4, 6, 7]",19,23,0,97.56666666666666,85.27257933279088,,,,,,,,,,
1086,"[1, 2, 3, 9]","[4, 5, 7, 8]",19,30,0,97.52,80.62515504837509,,,,,,,,,,
1087,"[0, 1, 4]","[2, 3, 6, 8]",19,26,0,97.87166666666668,87.9507848960543,,,,,,,,,,
1088,"[1, 7]","[2, 3, 9]",19,19,0,97.445,85.92251630226315,,,,,,,,,,
1089,"[1, 5, 9]","[2, 3, 6, 8]",19,26,0,97.83833333333334,80.79885877318117,,,,,,,,,,
1090,"[1, 3, 5, 9]","[2, 4, 7]",19,26,0,97.385,84.33972911963883,,,,,,,,,,
1091,"[1, 3, 4, 7, 8]","[2, 5, 6, 9]",19,33,0,97.14,82.09534368070953,,,,,,,,,,
1092,"[0, 3, 4, 5, 6, 7]","[1, 2, 9]",19,33,0,97.56666666666666,87.50276977620209,,,,,,,,,,
1093,"[0, 1, 6, 9]","[2, 3, 5]",19,26,0,98.10333333333332,83.92246294184721,,,,,,,,,,
1094,"[0, 3, 4, 6, 9]","[1, 2, 5, 8]",19,33,0,97.69666666666666,80.81810075791351,,,,,,,,,,
1095,"[1, 5, 8]","[2, 3, 9]",19,22,0,97.64333333333332,83.17911434236616,,,,,,,,,,
1096,"[0, 6, 7, 8, 9]","[1, 2, 5]",19,30,0,97.59,83.0919080919081,,,,,,,,,,
1097,"[1, 2]","[3, 4, 6, 7, 8]",19,26,0,97.86333333333332,82.34302570585757,,,,,,,,,,
1098,"[1, 9]","[2, 3, 7]",19,19,0,98.09,84.81012658227847,,,,,,,,,,
1099,"[1, 6, 7, 8]","[2, 3, 9]",19,26,0,97.79666666666668,81.71004757906522,,,,,,,,,,
1100,"[0, 3, 6, 7, 9]","[1, 2, 4, 8]",19,34,0,97.79833333333332,84.27755819060167,,,,,,,,,,
1101,"[1, 2, 5]","[3, 4, 7, 8, 9]",19,30,0,97.815,80.93525179856115,,,,,,,,,,
1102,"[2, 3, 4, 5, 9]","[6, 7, 8]",19,29,0,97.44166666666668,74.26759670259987,,,,,,,,,,
1103,"[1, 6, 7]","[2, 3, 5]",19,22,0,97.885,82.65895953757226,,,,,,,,,,
1104,"[2, 5, 7]","[3, 4, 8, 9]",19,25,0,97.855,68.39901833405516,,,,,,,,,,
1105,"[0, 3, 7, 8]","[1, 2, 5, 6, 9]",19,33,0,97.84,78.95320470170769,,,,,,,,,,
1106,"[0, 9]","[1, 2, 5, 7]",19,22,0,97.945,86.10928242264649,,,,,,,,,,
1107,"[1, 2, 3, 6, 9]","[4, 5, 8]",19,29,0,97.705,79.57957957957959,,,,,,,,,,
1108,"[0, 3, 5]","[1, 4, 6, 7, 8]",19,30,0,97.865,79.74619927126524,,,,,,,,,,
1109,"[0, 6, 8]","[1, 2, 4, 9]",19,26,0,97.89166666666668,87.34087694483735,,,,,,,,,,
1110,"[2, 4, 7, 8]","[3, 5, 9]",19,25,0,97.885,71.02641836292769,,,,,,,,,,
1111,"[0, 1, 7]","[2, 3, 5, 6, 8, 9]",19,33,0,97.56666666666666,77.48946551341761,,,,,,,,,,
1112,"[0, 1, 6, 7]","[2, 4, 5]",19,26,0,97.87166666666668,89.13943199657486,,,,,,,,,,
1113,"[1, 5, 8]","[2, 3, 7]",19,22,0,97.76833333333332,74.86410805468621,,,,,,,,,,
1114,"[0, 9]","[1, 2, 6, 7]",19,23,0,97.59,89.54737870400521,,,,,,,,,,
1115,"[0, 1, 6, 7]","[2, 3, 5]",19,26,0,97.46666666666668,86.83724235963042,,,,,,,,,,
1116,"[0, 4, 6, 8, 9]","[1, 2, 5, 7]",19,33,0,97.78666666666666,83.53726362625139,,,,,,,,,,
1117,"[0, 3, 5, 7]","[1, 2, 6]",19,26,0,97.66166666666666,84.53447050461976,,,,,,,,,,
1118,"[0, 1, 4, 9]","[2, 3, 6, 7, 8]",19,34,0,97.87166666666668,83.36627140974967,,,,,,,,,,
1119,"[0, 6, 7, 8, 9]","[1, 2, 4, 5]",19,33,0,98.11,82.95884315906564,,,,,,,,,,
1120,"[2, 7, 8]","[3, 4, 6]",19,22,0,97.99833333333332,78.50935828877004,,,,,,,,,,
1121,"[1, 2, 3, 4, 5]","[6, 7, 8, 9]",19,33,0,97.67,84.52328159645232,,,,,,,,,,
1122,"[1, 2, 3, 4, 6, 7]","[5, 8, 9]",19,33,0,98.02166666666666,80.18847006651885,,,,,,,,,,
1123,"[0, 1, 5, 6, 7]","[2, 3, 4, 9]",19,33,0,97.73166666666664,88.72147130511856,,,,,,,,,,
1124,"[0, 3]","[1, 2, 7, 8, 9]",19,26,0,97.14,82.79854910714286,,,,,,,,,,
1125,"[0, 3, 8]","[1, 2, 6, 7]",19,26,0,97.84166666666668,85.3027961219615,,,,,,,,,,
1126,"[0, 2, 4, 7, 8]","[1, 3, 9]",19,30,0,97.945,85.36196319018406,,,,,,,,,,
1127,"[0, 3, 9]","[1, 2, 5, 6, 7]",19,30,0,97.30666666666666,85.71606166086524,,,,,,,,,,
1128,"[0, 1, 3]","[2, 4, 7]",19,23,0,97.64833333333334,90.54645694827308,,,,,,,,,,
1129,"[0, 3, 6, 8]","[1, 2, 9]",19,26,0,97.855,86.50324034939419,,,,,,,,,,
1130,"[3, 4, 8]","[5, 6, 9]",19,21,0,97.52833333333332,68.60085836909872,,,,,,,,,,
1131,"[4, 6, 8]","[5, 7, 9]",19,22,0,97.69666666666666,67.20862570597296,,,,,,,,,,
1132,"[0, 3, 5, 7, 8, 9]","[1, 2, 6]",19,33,0,97.77166666666666,79.92903082723441,,,,,,,,,,
